-----------------------------------------------------------
[  1] local 192.168.70.135 port 44966 connected with 12.1.1.187 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 176.0000-177.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 177.0000-178.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 178.0000-179.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 179.0000-180.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 180.0000-181.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 181.0000-182.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 182.0000-183.0000 sec  2.03 MBytes  17.1 Mbits/sec
[  1] 183.0000-184.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 184.0000-185.0000 sec  1.06 MBytes  8.86 Mbits/sec
[  1] 185.0000-186.0000 sec  1.82 MBytes  15.2 Mbits/sec
[  1] 186.0000-187.0000 sec   280 KBytes  2.29 Mbits/sec
[  1] 187.0000-188.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  1] 188.0000-189.0000 sec   250 KBytes  2.05 Mbits/sec
[  1] 189.0000-190.0000 sec  3.44 MBytes  28.8 Mbits/sec
[  1] 190.0000-191.0000 sec   188 KBytes  1.54 Mbits/sec
[  1] 191.0000-192.0000 sec  1.75 MBytes  14.7 Mbits/sec
[  1] 192.0000-193.0000 sec  2.61 MBytes  21.9 Mbits/sec
[  1] 193.0000-194.0000 sec   568 KBytes  4.66 Mbits/sec
[  1] 194.0000-195.0000 sec  2.12 MBytes  17.8 Mbits/sec
[  1] 195.0000-196.0000 sec   695 KBytes  5.69 Mbits/sec
[  1] 196.0000-197.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  1] 197.0000-198.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 198.0000-199.0000 sec   701 KBytes  5.75 Mbits/sec
[  1] 199.0000-200.0000 sec  2.00 MBytes  16.7 Mbits/sec
[  1] 200.0000-201.0000 sec   816 KBytes  6.69 Mbits/sec
[  1] 201.0000-202.0000 sec   639 KBytes  5.24 Mbits/sec
[  1] 202.0000-203.0000 sec  2.74 MBytes  23.0 Mbits/sec
[  1] 203.0000-204.0000 sec   184 KBytes  1.51 Mbits/sec
[  1] 204.0000-205.0000 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 205.0000-206.0000 sec   186 KBytes  1.53 Mbits/sec
[  1] 206.0000-207.0000 sec  2.87 MBytes  24.1 Mbits/sec
[  1] 207.0000-208.0000 sec  2.80 MBytes  23.5 Mbits/sec
[  1] 208.0000-209.0000 sec   747 KBytes  6.12 Mbits/sec
[  1] 209.0000-210.0000 sec  2.25 MBytes  18.9 Mbits/sec
[  1] 210.0000-211.0000 sec  1.17 MBytes  9.80 Mbits/sec
[  1] 211.0000-212.0000 sec   320 KBytes  2.62 Mbits/sec
[  1] 212.0000-213.0000 sec  2.55 MBytes  21.4 Mbits/sec
[  1] 213.0000-214.0000 sec   566 KBytes  4.64 Mbits/sec
[  1] 214.0000-215.0000 sec  1.56 MBytes  13.1 Mbits/sec
[  1] 215.0000-216.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 216.0000-217.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 217.0000-218.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 218.0000-219.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 219.0000-220.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 220.0000-221.0000 sec   252 KBytes  2.07 Mbits/sec
[  1] 221.0000-222.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 222.0000-223.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 223.0000-224.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 224.0000-225.0000 sec   318 KBytes  2.61 Mbits/sec
[  1] 225.0000-226.0000 sec  4.00 MBytes  33.6 Mbits/sec
[  1] 226.0000-227.0000 sec   546 KBytes  4.47 Mbits/sec
[  1] 227.0000-228.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  1] 228.0000-229.0000 sec   976 KBytes  7.99 Mbits/sec
[  1] 229.0000-230.0000 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 230.0000-231.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 231.0000-232.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  1] 232.0000-233.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  1] 233.0000-234.0000 sec  1.10 MBytes  9.26 Mbits/sec
[  1] 234.0000-235.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  1] 235.0000-236.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 236.0000-237.0000 sec  3.00 MBytes  25.2 Mbits/sec
[  1] 237.0000-238.0000 sec  2.30 MBytes  19.3 Mbits/sec
[  1] 238.0000-239.0000 sec  1.54 MBytes  12.9 Mbits/sec
[  1] 239.0000-240.0000 sec  1.69 MBytes  14.1 Mbits/sec
[  1] 240.0000-241.0000 sec  1.61 MBytes  13.5 Mbits/sec
[  1] 241.0000-242.0000 sec  1018 KBytes  8.34 Mbits/sec
[  1] 242.0000-243.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 243.0000-244.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 244.0000-245.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 245.0000-246.0000 sec   829 KBytes  6.79 Mbits/sec
[  1] 246.0000-247.0000 sec  2.24 MBytes  18.8 Mbits/sec
[  1] 247.0000-248.0000 sec   441 KBytes  3.61 Mbits/sec
[  1] 248.0000-249.0000 sec  2.31 MBytes  19.4 Mbits/sec
[  1] 249.0000-250.0000 sec  2.79 MBytes  23.4 Mbits/sec
[  1] 250.0000-251.0000 sec   884 KBytes  7.24 Mbits/sec
[  1] 251.0000-252.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 252.0000-253.0000 sec  2.25 MBytes  18.9 Mbits/sec
[  1] 253.0000-254.0000 sec   562 KBytes  4.60 Mbits/sec
[  1] 254.0000-255.0000 sec  1020 KBytes  8.35 Mbits/sec
[  1] 255.0000-256.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 256.0000-257.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 257.0000-258.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 258.0000-259.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 259.0000-260.0000 sec  1.06 MBytes  8.86 Mbits/sec
[  1] 260.0000-261.0000 sec  2.12 MBytes  17.7 Mbits/sec
[  1] 261.0000-262.0000 sec   121 KBytes   988 Kbits/sec
[  1] 262.0000-263.0000 sec   255 KBytes  2.09 Mbits/sec
[  1] 263.0000-264.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 264.0000-265.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  1] 265.0000-266.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  1] 266.0000-267.0000 sec  2.12 MBytes  17.8 Mbits/sec
[  1] 267.0000-268.0000 sec  61.3 KBytes   502 Kbits/sec
[  1] 268.0000-269.0000 sec  1.69 MBytes  14.2 Mbits/sec
[  1] 269.0000-270.0000 sec  3.00 MBytes  25.2 Mbits/sec
[  1] 270.0000-271.0000 sec  60.7 KBytes   497 Kbits/sec
[  1] 271.0000-272.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 272.0000-273.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 273.0000-274.0000 sec   657 KBytes  5.38 Mbits/sec
[  1] 274.0000-275.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 275.0000-276.0000 sec  3.12 MBytes  26.2 Mbits/sec
[  1] 276.0000-277.0000 sec   121 KBytes   994 Kbits/sec
[  1] 277.0000-278.0000 sec   255 KBytes  2.09 Mbits/sec
[  1] 278.0000-279.0000 sec  2.80 MBytes  23.5 Mbits/sec
[  1] 279.0000-280.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 280.0000-281.0000 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 281.0000-282.0000 sec   497 KBytes  4.07 Mbits/sec
[  1] 282.0000-283.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  1] 283.0000-284.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  1] 284.0000-285.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 285.0000-286.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  1] 286.0000-287.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  1] 287.0000-288.0000 sec  1020 KBytes  8.35 Mbits/sec
[  1] 288.0000-289.0000 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 289.0000-290.0000 sec  1.05 MBytes  8.81 Mbits/sec
[  1] 290.0000-291.0000 sec  63.6 KBytes   521 Kbits/sec
[  1] 291.0000-292.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 292.0000-293.0000 sec  1.11 MBytes  9.29 Mbits/sec
[  1] 293.0000-294.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 294.0000-295.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  1] 295.0000-296.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 296.0000-297.0000 sec  4.06 MBytes  34.0 Mbits/sec
[  1] 297.0000-298.0000 sec   676 KBytes  5.54 Mbits/sec
[  1] 298.0000-299.0000 sec  1.50 MBytes  12.6 Mbits/sec
[  1] 299.0000-300.0000 sec  3.92 MBytes  32.9 Mbits/sec
[  1] 300.0000-301.1636 sec   128 KBytes   901 Kbits/sec
[  1] 0.0000-301.1636 sec   451 MBytes  12.6 Mbits/sec

